Date,HomeTeam,AwayTeam,Home Goals,Away Goals,Winner,Referee
4/11/2017,Huddersfield,West Brom,1,0,H,R East
4/11/2017,Newcastle,Bournemouth,0,1,A,P Tierney
4/11/2017,Southampton,Burnley,0,1,A,L Probert
4/11/2017,Stoke,Leicester,2,2,D,R Madley
4/11/2017,Swansea,Brighton,0,1,A,M Dean
4/11/2017,West Ham,Liverpool,1,4,A,N Swarbrick
5/11/2017,Chelsea,Man United,1,0,H,A Taylor
5/11/2017,Everton,Watford,3,2,H,G Scott
5/11/2017,Man City,Arsenal,3,1,H,M Oliver
5/11/2017,Tottenham,Crystal Palace,1,0,H,K Friend
18/11/17,Arsenal,Tottenham,2,0,H,M Dean
18/11/17,Bournemouth,Huddersfield,4,0,H,L Probert
18/11/17,Burnley,Swansea,2,0,H,M Atkinson
18/11/17,Crystal Palace,Everton,2,2,D,A Taylor
18/11/17,Leicester,Man City,0,2,A,G Scott
18/11/17,Liverpool,Southampton,3,0,H,M Jones
18/11/17,Man United,Newcastle,4,1,H,C Pawson
18/11/17,West Brom,Chelsea,0,4,A,J Moss
19/11/17,Watford,West Ham,2,0,H,A Marriner
20/11/17,Brighton,Stoke,2,2,D,L Mason
24/11/17,West Ham,Leicester,1,1,D,M Atkinson
25/11/17,Crystal Palace,Stoke,2,1,H,M Dean
25/11/17,Liverpool,Chelsea,1,1,D,M Oliver
25/11/17,Man United,Brighton,1,0,H,N Swarbrick
25/11/17,Newcastle,Watford,0,3,A,C Kavanagh
25/11/17,Swansea,Bournemouth,0,0,D,S Attwell
25/11/17,Tottenham,West Brom,1,1,D,M Jones
26/11/17,Burnley,Arsenal,0,1,A,L Mason
26/11/17,Huddersfield,Man City,1,2,A,C Pawson
26/11/17,Southampton,Everton,4,1,H,K Friend
28/11/17,Brighton,Crystal Palace,0,0,D,A Marriner
28/11/17,Leicester,Tottenham,2,1,H,A Taylor
28/11/17,Watford,Man United,2,4,A,J Moss
28/11/17,West Brom,Newcastle,2,2,D,L Probert
29/11/17,Arsenal,Huddersfield,5,0,H,G Scott
29/11/17,Bournemouth,Burnley,1,2,A,R East
29/11/17,Chelsea,Swansea,1,0,H,N Swarbrick
29/11/17,Everton,West Ham,4,0,H,M Oliver
29/11/17,Man City,Southampton,2,1,H,P Tierney
29/11/17,Stoke,Liverpool,0,3,A,M Atkinson
2/12/2017,Arsenal,Man United,1,3,A,A Marriner
2/12/2017,Brighton,Liverpool,1,5,A,G Scott
2/12/2017,Chelsea,Newcastle,3,1,H,K Friend
2/12/2017,Everton,Huddersfield,2,0,H,C Kavanagh
2/12/2017,Leicester,Burnley,1,0,H,P Tierney
2/12/2017,Stoke,Swansea,2,1,H,C Pawson
2/12/2017,Watford,Tottenham,1,1,D,M Atkinson
2/12/2017,West Brom,Crystal Palace,0,0,D,M Oliver
3/12/2017,Bournemouth,Southampton,1,1,D,J Moss
3/12/2017,Man City,West Ham,2,1,H,M Dean
9/12/2017,Burnley,Watford,1,0,H,L Probert
9/12/2017,Crystal Palace,Bournemouth,2,2,D,K Friend
9/12/2017,Huddersfield,Brighton,2,0,H,S Attwell
9/12/2017,Newcastle,Leicester,2,3,A,N Swarbrick
9/12/2017,Swansea,West Brom,1,0,H,M Dean
9/12/2017,Tottenham,Stoke,5,1,H,R East
9/12/2017,West Ham,Chelsea,1,0,H,A Taylor
10/12/2017,Liverpool,Everton,1,1,D,C Pawson
10/12/2017,Man United,Man City,1,2,A,M Oliver
10/12/2017,Southampton,Arsenal,1,1,D,R Madley
12/12/2017,Burnley,Stoke,1,0,H,M Jones
12/12/2017,Crystal Palace,Watford,2,1,H,L Mason
12/12/2017,Huddersfield,Chelsea,1,3,A,A Marriner
13/12/17,Liverpool,West Brom,0,0,D,P Tierney
13/12/17,Man United,Bournemouth,1,0,H,G Scott
13/12/17,Newcastle,Everton,0,1,A,M Atkinson
13/12/17,Southampton,Leicester,1,4,A,C Kavanagh
13/12/17,Swansea,Man City,0,4,A,A Taylor
13/12/17,Tottenham,Brighton,2,0,H,R Madley
13/12/17,West Ham,Arsenal,0,0,D,J Moss
16/12/17,Arsenal,Newcastle,1,0,H,S Attwell
16/12/17,Brighton,Burnley,0,0,D,C Kavanagh
16/12/17,Chelsea,Southampton,1,0,H,R East
16/12/17,Leicester,Crystal Palace,0,3,A,M Atkinson
16/12/17,Man City,Tottenham,4,1,H,C Pawson
16/12/17,Stoke,West Ham,0,3,A,G Scott
16/12/17,Watford,Huddersfield,1,4,A,M Oliver
17/12/17,Bournemouth,Liverpool,0,4,A,A Marriner
17/12/17,West Brom,Man United,1,2,A,A Taylor
18/12/17,Everton,Swansea,3,1,H,J Moss
22/12/17,Arsenal,Liverpool,3,3,D,M Atkinson
23/12/17,Brighton,Watford,1,0,H,P Tierney
23/12/17,Burnley,Tottenham,0,3,A,M Oliver
23/12/17,Everton,Chelsea,0,0,D,R Madley
23/12/17,Leicester,Man United,2,2,D,J Moss
23/12/17,Man City,Bournemouth,4,0,H,M Jones
23/12/17,Southampton,Huddersfield,1,1,D,L Probert
23/12/17,Stoke,West Brom,3,1,H,N Swarbrick
23/12/17,Swansea,Crystal Palace,1,1,D,C Pawson
23/12/17,West Ham,Newcastle,2,3,A,L Mason
26/12/17,Bournemouth,West Ham,3,3,D,S Attwell
26/12/17,Chelsea,Brighton,2,0,H,M Dean
26/12/17,Huddersfield,Stoke,1,1,D,A Taylor
26/12/17,Liverpool,Swansea,5,0,H,K Friend
26/12/17,Man United,Burnley,2,2,D,M Atkinson
26/12/17,Tottenham,Southampton,5,2,H,G Scott
26/12/17,Watford,Leicester,2,1,H,C Kavanagh
26/12/17,West Brom,Everton,0,0,D,R East
27/12/17,Newcastle,Man City,0,1,A,A Marriner
28/12/17,Crystal Palace,Arsenal,2,3,A,M Oliver
30/12/17,Bournemouth,Everton,2,1,H,L Probert
30/12/17,Chelsea,Stoke,5,0,H,K Friend
30/12/17,Huddersfield,Burnley,0,0,D,P Tierney
30/12/17,Liverpool,Leicester,2,1,H,N Swarbrick
30/12/17,Man United,Southampton,0,0,D,C Pawson
30/12/17,Newcastle,Brighton,0,0,D,A Taylor
30/12/17,Watford,Swansea,1,2,A,M Atkinson
31/12/17,Crystal Palace,Man City,0,0,D,J Moss
31/12/17,West Brom,Arsenal,1,1,D,M Dean
1/1/2018,Brighton,Bournemouth,2,2,D,M Oliver
1/1/2018,Burnley,Liverpool,1,2,A,R East
1/1/2018,Everton,Man United,0,2,A,A Marriner
1/1/2018,Leicester,Huddersfield,3,0,H,G Scott
1/1/2018,Stoke,Newcastle,0,1,A,C Kavanagh
2/1/2018,Man City,Watford,3,1,H,L Mason
2/1/2018,Southampton,Crystal Palace,1,2,A,S Attwell
2/1/2018,Swansea,Tottenham,0,2,A,R Madley
2/1/2018,West Ham,West Brom,2,1,H,M Jones
3/1/2018,Arsenal,Chelsea,2,2,D,A Taylor
4/1/2018,Tottenham,West Ham,1,1,D,M Dean
13/01/18,Chelsea,Leicester,0,0,D,M Jones
13/01/18,Crystal Palace,Burnley,1,0,H,M Oliver
13/01/18,Huddersfield,West Ham,1,4,A,J Moss
13/01/18,Newcastle,Swansea,1,1,D,G Scott
13/01/18,Tottenham,Everton,4,0,H,C Pawson
13/01/18,Watford,Southampton,2,2,D,R East
13/01/18,West Brom,Brighton,2,0,H,M Atkinson
14/01/18,Bournemouth,Arsenal,2,1,H,K Friend
14/01/18,Liverpool,Man City,4,3,H,A Marriner
15/01/18,Man United,Stoke,3,0,H,A Taylor
20/01/18,Arsenal,Crystal Palace,4,1,H,C Kavanagh
20/01/18,Brighton,Chelsea,0,4,A,J Moss
20/01/18,Burnley,Man United,0,1,A,M Dean
20/01/18,Everton,West Brom,1,1,D,S Attwell
20/01/18,Leicester,Watford,2,0,H,L Probert
20/01/18,Man City,Newcastle,3,1,H,P Tierney
20/01/18,Stoke,Huddersfield,2,0,H,M Oliver
20/01/18,West Ham,Bournemouth,1,1,D,M Atkinson
21/01/18,Southampton,Tottenham,1,1,D,K Friend
22/01/18,Swansea,Liverpool,1,0,H,N Swarbrick
30/01/18,Huddersfield,Liverpool,0,3,A,K Friend
30/01/18,Swansea,Arsenal,3,1,H,L Mason
30/01/18,West Ham,Crystal Palace,1,1,D,N Swarbrick
31/01/18,Chelsea,Bournemouth,0,3,A,L Probert
31/01/18,Everton,Leicester,2,1,H,C Kavanagh
31/01/18,Man City,West Brom,3,0,H,R Madley
31/01/18,Newcastle,Burnley,1,1,D,S Hooper
31/01/18,Southampton,Brighton,1,1,D,M Dean
31/01/18,Stoke,Watford,0,0,D,J Moss
31/01/18,Tottenham,Man United,2,0,H,A Marriner
3/2/2018,Arsenal,Everton,5,1,H,N Swarbrick
3/2/2018,Bournemouth,Stoke,2,1,H,P Tierney
3/2/2018,Brighton,West Ham,3,1,H,R East
3/2/2018,Burnley,Man City,1,1,D,M Atkinson
3/2/2018,Leicester,Swansea,1,1,D,A Taylor
3/2/2018,Man United,Huddersfield,2,0,H,S Attwell
3/2/2018,West Brom,Southampton,2,3,A,M Oliver
4/2/2018,Crystal Palace,Newcastle,1,1,D,A Marriner
4/2/2018,Liverpool,Tottenham,2,2,D,J Moss
5/2/2018,Watford,Chelsea,4,1,H,M Dean
10/2/2018,Everton,Crystal Palace,3,1,H,J Moss
10/2/2018,Man City,Leicester,5,1,H,M Jones
10/2/2018,Stoke,Brighton,1,1,D,R Madley
10/2/2018,Swansea,Burnley,1,0,H,A Marriner
10/2/2018,Tottenham,Arsenal,1,0,H,A Taylor
10/2/2018,West Ham,Watford,2,0,H,G Scott
11/2/2018,Huddersfield,Bournemouth,4,1,H,M Oliver
11/2/2018,Newcastle,Man United,1,0,H,C Pawson
11/2/2018,Southampton,Liverpool,0,2,A,M Atkinson
12/2/2018,Chelsea,West Brom,3,0,H,L Mason
24/02/18,Bournemouth,Newcastle,2,2,D,R East
24/02/18,Brighton,Swansea,4,1,H,M Dean
24/02/18,Burnley,Southampton,1,1,D,R Madley
24/02/18,Leicester,Stoke,1,1,D,M Oliver
24/02/18,Liverpool,West Ham,4,1,H,S Attwell
24/02/18,Watford,Everton,1,0,H,A Taylor
24/02/18,West Brom,Huddersfield,1,2,A,J Moss
25/02/18,Crystal Palace,Tottenham,0,1,A,K Friend
25/02/18,Man United,Chelsea,2,1,H,M Atkinson
1/3/2018,Arsenal,Man City,0,3,A,A Marriner
3/3/2018,Burnley,Everton,2,1,H,C Kavanagh
3/3/2018,Leicester,Bournemouth,1,1,D,L Probert
3/3/2018,Liverpool,Newcastle,2,0,H,G Scott
3/3/2018,Southampton,Stoke,0,0,D,A Taylor
3/3/2018,Swansea,West Ham,4,1,H,M Atkinson
3/3/2018,Tottenham,Huddersfield,2,0,H,K Friend
3/3/2018,Watford,West Brom,1,0,H,P Tierney
4/3/2018,Brighton,Arsenal,2,1,H,S Attwell
4/3/2018,Man City,Chelsea,1,0,H,M Oliver
5/3/2018,Crystal Palace,Man United,2,3,A,N Swarbrick
10/3/2018,Chelsea,Crystal Palace,2,1,H,A Taylor
10/3/2018,Everton,Brighton,2,0,H,R East
10/3/2018,Huddersfield,Swansea,0,0,D,M Oliver
10/3/2018,Man United,Liverpool,2,1,H,C Pawson
10/3/2018,Newcastle,Southampton,3,0,H,A Marriner
10/3/2018,West Brom,Leicester,1,4,A,R Madley
10/3/2018,West Ham,Burnley,0,3,A,L Mason
11/3/2018,Arsenal,Watford,3,0,H,M Atkinson
11/3/2018,Bournemouth,Tottenham,1,4,A,M Dean
12/3/2018,Stoke,Man City,0,2,A,J Moss
17/03/18,Bournemouth,West Brom,2,1,H,G Scott
17/03/18,Huddersfield,Crystal Palace,0,2,A,M Dean
17/03/18,Liverpool,Watford,5,0,H,A Taylor
17/03/18,Stoke,Everton,1,2,A,M Atkinson
31/03/18,Brighton,Leicester,0,2,A,C Kavanagh
31/03/18,Crystal Palace,Liverpool,1,2,A,N Swarbrick
31/03/18,Everton,Man City,1,3,A,P Tierney
31/03/18,Man United,Swansea,2,0,H,R Madley
31/03/18,Newcastle,Huddersfield,1,0,H,M Atkinson
31/03/18,Watford,Bournemouth,2,2,D,A Marriner
31/03/18,West Brom,Burnley,1,2,A,L Probert
31/03/18,West Ham,Southampton,3,0,H,J Moss
1/4/2018,Arsenal,Stoke,3,0,H,C Pawson
1/4/2018,Chelsea,Tottenham,1,3,A,A Marriner
7/4/2018,Bournemouth,Crystal Palace,2,2,D,J Moss
7/4/2018,Brighton,Huddersfield,1,1,D,A Taylor
7/4/2018,Everton,Liverpool,0,0,D,M Oliver
7/4/2018,Leicester,Newcastle,1,2,A,S Attwell
7/4/2018,Man City,Man United,2,3,A,M Atkinson
7/4/2018,Stoke,Tottenham,1,2,A,G Scott
7/4/2018,Watford,Burnley,1,2,A,P Tierney
7/4/2018,West Brom,Swansea,1,1,D,R East
8/4/2018,Arsenal,Southampton,3,2,H,A Marriner
8/4/2018,Chelsea,West Ham,1,1,D,K Friend
14/04/18,Burnley,Leicester,2,1,H,M Atkinson
14/04/18,Crystal Palace,Brighton,3,2,H,A Marriner
14/04/18,Huddersfield,Watford,1,0,H,C Pawson
14/04/18,Liverpool,Bournemouth,3,0,H,C Kavanagh
14/04/18,Southampton,Chelsea,2,3,A,M Dean
14/04/18,Swansea,Everton,1,1,D,L Mason
14/04/18,Tottenham,Man City,1,3,A,J Moss
15/04/18,Man United,West Brom,0,1,A,P Tierney
15/04/18,Newcastle,Arsenal,2,1,H,A Taylor
16/04/18,West Ham,Stoke,1,1,D,M Oliver
17/04/18,Brighton,Tottenham,1,1,D,K Friend
18/04/18,Bournemouth,Man United,0,2,A,G Scott
19/04/18,Burnley,Chelsea,1,2,A,R Madley
19/04/18,Leicester,Southampton,0,0,D,R East
21/04/18,Watford,Crystal Palace,0,0,D,C Kavanagh
21/04/18,West Brom,Liverpool,2,2,D,S Attwell
22/04/18,Arsenal,West Ham,4,1,H,L Mason
22/04/18,Man City,Swansea,5,0,H,C Pawson
22/04/18,Stoke,Burnley,1,1,D,M Dean
23/04/18,Everton,Newcastle,1,0,H,R Madley
28/04/18,Burnley,Brighton,0,0,D,R East
28/04/18,Crystal Palace,Leicester,5,0,H,M Dean
28/04/18,Huddersfield,Everton,0,2,A,L Probert
28/04/18,Liverpool,Stoke,0,0,D,A Marriner
28/04/18,Newcastle,West Brom,0,1,A,D Coote
28/04/18,Southampton,Bournemouth,2,1,H,A Taylor
28/04/18,Swansea,Chelsea,0,1,A,J Moss
29/04/18,Man United,Arsenal,2,1,H,K Friend
29/04/18,West Ham,Man City,1,4,A,N Swarbrick
30/04/18,Tottenham,Watford,2,0,H,M Oliver
4/5/2018,Brighton,Man United,1,0,H,C Pawson
5/5/2018,Bournemouth,Swansea,1,0,H,K Friend
5/5/2018,Everton,Southampton,1,1,D,J Moss
5/5/2018,Leicester,West Ham,0,2,A,C Kavanagh
5/5/2018,Stoke,Crystal Palace,1,2,A,M Atkinson
5/5/2018,Watford,Newcastle,2,1,H,R East
5/5/2018,West Brom,Tottenham,1,0,H,M Jones
6/5/2018,Arsenal,Burnley,5,0,H,A Marriner
6/5/2018,Chelsea,Liverpool,1,0,H,A Taylor
6/5/2018,Man City,Huddersfield,0,0,D,M Dean
8/5/2018,Swansea,Southampton,0,1,A,M Oliver
9/5/2018,Chelsea,Huddersfield,1,1,D,L Mason
9/5/2018,Leicester,Arsenal,3,1,H,G Scott
9/5/2018,Man City,Brighton,3,1,H,P Tierney
9/5/2018,Tottenham,Newcastle,1,0,H,N Swarbrick
10/5/2018,West Ham,Man United,0,0,D,J Moss
13/05/18,Burnley,Bournemouth,1,2,A,P Tierney
13/05/18,Crystal Palace,West Brom,2,0,H,J Moss
13/05/18,Huddersfield,Arsenal,0,1,A,M Oliver
13/05/18,Liverpool,Brighton,4,0,H,K Friend
13/05/18,Man United,Watford,1,0,H,L Mason
13/05/18,Newcastle,Chelsea,3,0,H,M Atkinson
13/05/18,Southampton,Man City,0,1,A,A Marriner
13/05/18,Swansea,Stoke,1,2,A,A Taylor
13/05/18,Tottenham,Leicester,5,4,H,C Pawson
13/05/18,West Ham,Everton,3,1,H,G Scott
